년월,정류소명,정류소ID,승차,하차
Jan-20,내당코오롱아파트건너,7031000300,"7,342","11,092"
Jan-20,내당코오롱아파트앞,7031000200,"5,086","1,158"
Jan-20,내동,7011022100,482,39
Jan-20,내동건너,7011029100,25,102
Jan-20,내리1,7111025400,6,9
Jan-20,내리2,7111041400,3,0
Jan-20,내일교회건너,7041013000,197,46
Jan-20,내일교회앞,7041013100,605,76
Jan-20,냉천2리,7111013600,44,5
Jan-20,냉천리1,7111045300,"1,202",84
Jan-20,냉천리2,7111045400,22,221
Jan-20,노곡교(하중도)1,7021058700,494,212
Jan-20,노곡교(하중도)2,7021058800,562,35
Jan-20,노곡동,7021029700,"3,723",18
Jan-20,노변중학교,7061057200,"1,201",126
Jan-20,노변중학교건너,7061057500,"1,452",198
Jan-20,노변청구타운건너,7061057100,377,190
Jan-20,노변청구타운앞,7061057600,570,94
Jan-20,노원119안전센터건너,7021008800,"4,202","3,811"
Jan-20,노원119안전센터앞,7021008700,"2,295",509
Jan-20,노원네거리(대구은행건너),7021009400,428,174
Jan-20,노원네거리(대구은행앞),7021009300,"3,331",251
Jan-20,노원네거리1(오봉새마을금고앞),7021017400,"3,471",662
Jan-20,노원네거리2(오봉새마을금고건너),7021017500,"6,168",472
Jan-20,노원네거리3(기업은행),7021009500,"3,939",155
Jan-20,노원네거리4(기업은행),7021009600,376,461
Jan-20,노원동화타운건너,7021010000,371,321
Jan-20,노원동화타운앞,7021009900,"2,053",802
Jan-20,노이3리1,7111070900,68,4
Jan-20,노이3리2,7111071000,0,8
Jan-20,녹동서원건너,7111067700,111,0
Jan-20,녹동서원앞,7111028500,1,4
Jan-20,녹원맨션1,7011019000,"2,871",619
Jan-20,녹원맨션2,7011019100,"4,527",652
Jan-20,논공삼거리1,7111023200,"1,228",15
Jan-20,논공삼거리2,7111012800,292,627
Jan-20,논공읍사무소,7111012300,"1,295",181
Jan-20,논공읍사무소건너1,7111012200,"1,898",548
Jan-20,논공읍사무소건너2,7111005900,53,77
Jan-20,농산물도매시장건너,7021053700,"1,335",138
Jan-20,농산물도매시장앞,7021053800,"2,238",252
Jan-20,농수산물도매시장건너,7021000100,"1,968",659
Jan-20,농수산물도매시장앞,7021019300,"6,360","4,808"
Jan-20,농촌진흥원입구,7021042000,56,46
Jan-20,농협동촌지점,7011027400,284,163
Jan-20,농협방촌지점,7011020500,"1,554",116
Jan-20,농협중앙회건너,7011008800,"15,299","8,092"
Jan-20,농협중앙회앞,7021024800,"16,865","20,080"
Jan-20,농협중앙회중동지점건너,7061030800,916,58
Jan-20,농협중앙회중동지점앞,7061030900,31,228
Jan-20,능성동(종점)1,7011054100,15,0
Jan-20,능성동(종점)2,7011054200,264,28
Jan-20,능성동예비군훈련장,7011041500,0,13
Jan-20,능성동예비군훈련장건너,7011053900,2,0
Jan-20,능성동입구건너,7011023700,703,12
Jan-20,능성동입구앞,7011023600,4,60
Jan-20,다리골,7011037700,16,0
Jan-20,다사고등학교건너,7111026800,"4,546","5,007"
Jan-20,다사고등학교앞,7111019300,574,"2,663"
Jan-20,다사농협세천지점건너,7111069800,"3,471",700
Jan-20,다사농협세천지점앞,7111069700,"2,447",263
Jan-20,다사농협주유소건너,7111010500,81,"1,259"
Jan-20,다사농협주유소앞,7111010600,"6,801",507
Jan-20,다사역(3번출구),7111055400,1,36
Jan-20,다사읍사무소서재출장소건너,7111045100,"1,941",27
Jan-20,다사읍사무소서재출장소앞,7111021000,383,385
Jan-20,다사읍행정복지센터건너,7111019600,"7,651",589
Jan-20,다사읍행정복지센터앞,7111039400,107,189
Jan-20,다사주공아파트건너,7111054700,110,0
